availPrbDl,availPrbUl,du-id,measPeriodPdcpBytes,measPeriodPrb,measTimeStampRf,nrCellIdentity,pdcpBytesDl,pdcpBytesUl,throughput,x,y
0,0,1002,10.0,10,2021-06-25T11:42:33.685,c2/B13,4.566447392558995,4.566447392558995,0.44594212817958906,-832.0,-555.0
0,0,1002,10.0,10,2021-06-25T11:42:33.695,c2/B13,4.566447392558995,4.566447392558995,0.44594212817958906,-832.0,-555.0
0,0,1002,10.0,10,2021-06-25T11:42:33.705,c2/B13,9.132362040900631,9.132362040900631,0.445890102377112,-832.0,-555.0
0,0,1002,10.0,10,2021-06-25T11:42:33.715,c2/B13,13.697743446574867,13.697743446574867,0.445838027897874,-832.0,-555.0
0,0,1002,10.0,10,2021-06-25T11:42:33.725,c2/B13,18.262591113423376,18.262591113423376,0.44578590496567405,-832.0,-555.0
0,0,1002,10.0,10,2021-06-25T11:42:33.735,c2/B13,22.826904547575328,22.826904547575328,0.445733733803901,-832.0,-555.0
0,0,1002,10.0,10,2021-06-25T11:42:33.745,c2/B13,27.39068325744312,27.39068325744312,0.445681514635526,-832.0,-555.0
0,0,1002,10.0,10,2021-06-25T11:42:33.755,c2/B13,31.953926753718125,31.953926753718125,0.445629247683106,-832.0,-555.0
0,0,1002,10.0,10,2021-06-25T11:42:33.765,c2/B13,36.51663454936642,36.51663454936642,0.44557693316877905,-832.0,-555.0
0,0,1002,10.0,10,2021-06-25T11:42:33.775,c2/B13,41.07880615962452,41.07880615962452,0.44552457131426704,-832.0,-555.0
0,0,1002,10.0,10,2021-06-25T11:42:33.785,c2/B13,45.64044110199503,45.64044110199503,0.44547216234087006,-832.0,-555.0
0,0,1002,10.0,10,2021-06-25T11:42:33.795,c2/B13,50.20153889624241,50.20153889624241,0.44541970646947004,-832.0,-555.0
0,0,1002,10.0,10,2021-06-25T11:42:33.805,c2/B13,54.76209906438861,54.76209906438861,0.44536720392052703,-832.0,-555.0
0,0,1002,10.0,10,2021-06-25T11:42:33.815,c2/B13,59.32212113070874,59.32212113070874,0.445314654914075,-832.0,-555.0
0,0,1002,10.0,10,2021-06-25T11:42:33.825,c2/B13,63.88160462172675,63.88160462172675,0.44526205966972804,-832.0,-555.0
0,0,1002,10.0,10,2021-06-25T11:42:33.835,c2/B13,68.4405490662111,68.4405490662111,0.44520941840667405,-832.0,-555.0
0,0,1002,10.0,10,2021-06-25T11:42:33.845,c2/B13,72.99895399517035,72.99895399517035,0.44515673134367606,-832.0,-555.0
0,0,1002,10.0,10,2021-06-25T11:42:33.855,c2/B13,77.55681894184882,77.55681894184882,0.445103998699068,-832.0,-555.0
0,0,1002,10.0,10,2021-06-25T11:42:33.865,c2/B13,82.11414344172219,82.11414344172219,0.44505122069075903,-832.0,-555.0
0,0,1002,10.0,10,2021-06-25T11:42:33.875,c2/B13,86.67092703249317,86.67092703249317,0.44499839753622805,-832.0,-555.0
0,0,1002,10.0,10,2021-06-25T11:42:33.885,c2/B13,91.22716925408702,91.22716925408702,0.444945529452523,-832.0,-555.0
